cancer_type,gene,mutated_samples,total_samples,mutation_frequency
LUAD,KPRP,4,50,8.0
LUAD,KRTAP27-1,4,50,8.0
LUAD,LAMB4,4,50,8.0
LUAD,LAMC3,4,50,8.0
LUAD,LEPR,4,50,8.0
LUAD,LILRA2,4,50,8.0
LUAD,LILRB4,4,50,8.0
LUAD,LRFN2,4,50,8.0
LUAD,LRP4,4,50,8.0
LUAD,LRRK1,4,50,8.0
LUAD,LRRTM3,4,50,8.0
LUAD,MACF1,4,50,8.0
LUAD,MAN2C1,4,50,8.0
LUAD,MAP3K12,4,50,8.0
LUAD,MASP1,4,50,8.0
LUAD,MC3R,4,50,8.0
LUAD,MCM6,4,50,8.0
LUAD,MCMDC2,4,50,8.0
LUAD,MDGA2,4,50,8.0
LUAD,MED12,4,50,8.0
LUAD,MGAM,4,50,8.0
LUAD,MME,4,50,8.0
LUAD,MMUT,4,50,8.0
LUAD,MYH4,4,50,8.0
LUAD,MYH6,4,50,8.0
LUAD,MYO10,4,50,8.0
LUAD,MYO15A,4,50,8.0
LUAD,MYO7B,4,50,8.0
LUAD,MYOCD,4,50,8.0
LUAD,MYOM2,4,50,8.0
LUAD,MYRF,4,50,8.0
LUAD,NCAM1,4,50,8.0
LUAD,NCAN,4,50,8.0
LUAD,NETO1,4,50,8.0
LUAD,NFATC4,4,50,8.0
LUAD,NID2,4,50,8.0
LUAD,NLRP14,4,50,8.0
LUAD,NLRP4,4,50,8.0
LUAD,NLRP7,4,50,8.0
LUAD,NOS1,4,50,8.0
LUAD,NOS2,4,50,8.0
LUAD,NOX3,4,50,8.0
LUAD,NPAS4,4,50,8.0
LUAD,NPSR1,4,50,8.0
LUAD,NRAP,4,50,8.0
LUAD,NRG1,4,50,8.0
LUAD,NRP2,4,50,8.0
LUAD,NRXN3,4,50,8.0
LUAD,NTNG2,4,50,8.0
LUAD,NTRK3,4,50,8.0
LUAD,OR10J1,4,50,8.0
LUAD,OR13C9,4,50,8.0
LUAD,OR14I1,4,50,8.0
LUAD,OR1S2,4,50,8.0
LUAD,OR2AK2,4,50,8.0
LUAD,OR2B3,4,50,8.0
LUAD,OR2L13,4,50,8.0
LUAD,OR2L8,4,50,8.0
LUAD,OR2M3,4,50,8.0
LUAD,OR2M4,4,50,8.0
LUAD,OR4C15,4,50,8.0
LUAD,OR4C6,4,50,8.0
LUAD,OR4K17,4,50,8.0
LUAD,OR52E4,4,50,8.0
LUAD,OR5AN1,4,50,8.0
LUAD,OR5F1,4,50,8.0
LUAD,OR5K3,4,50,8.0
LUAD,OR5T1,4,50,8.0
LUAD,OR6B1,4,50,8.0
LUAD,OR6N1,4,50,8.0
LUAD,OR6T1,4,50,8.0
LUAD,OR8B12,4,50,8.0
LUAD,PAPOLA,4,50,8.0
LUAD,PCDHA2,4,50,8.0
LUAD,PCDHA6,4,50,8.0
LUAD,PCDHB11,4,50,8.0
LUAD,PCDHB14,4,50,8.0
LUAD,PCDHB4,4,50,8.0
LUAD,PCDHGA1,4,50,8.0
LUAD,PCDHGA11,4,50,8.0
LUAD,PCDHGA9,4,50,8.0
LUAD,PDZD2,4,50,8.0
LUAD,PEAK1,4,50,8.0
LUAD,PER1,4,50,8.0
LUAD,PHF21B,4,50,8.0
